severity,filename,method,parameters_json,paired_clean_reference_available,coherence_before,contrast_before,fragmentation_before,continuity_before,ridge_coverage_before,coherence_after,contrast_after,fragmentation_after,continuity_after,ridge_coverage_after,delta_coherence,delta_contrast,delta_fragmentation,delta_continuity,delta_ridge_coverage
Altered-Easy,397__M_Right_thumb_finger_Zcut.BMP,M1 NLM,"{""h"": 0.07}",False,0.7955791354179382,0.23702776432037354,1.8822080010951028,49.57017543859649,0.4458770751953125,0.8509163856506348,0.22961929440498352,1.4065180102915953,58.92553191489362,0.444793701171875,0.05533725023269653,-0.007408469915390015,-0.4756899908035075,9.355356476297125,-0.0010833740234375
Altered-Easy,397__M_Right_thumb_finger_Zcut.BMP,M2 Hybrid NLM-Gabor,"{""detail_clip"": 0.1, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""gabor_blend"": 0.15, ""gabor_strength"": 0.12, ""gamma"": 0.5, ""nlm_h"": 0.07, ""orientation_bins"": 12, ""orientation_offset"": 1.5707963267948966, ""sigma_scale"": 0.55}",False,0.7955791354179382,0.23702776432037354,1.8822080010951028,49.57017543859649,0.4458770751953125,0.8451974987983704,0.23056426644325256,1.4407244785949505,56.704081632653065,0.44482421875,0.04961836338043213,-0.006463497877120972,-0.4414835225001523,7.133906194056571,-0.0010528564453125
Altered-Easy,397__M_Right_thumb_finger_Zcut.BMP,M3 TV,"{""weight"": 0.02}",False,0.7955791354179382,0.23702776432037354,1.8822080010951028,49.57017543859649,0.4458770751953125,0.8073909282684326,0.22722646594047546,1.5793991416309012,50.22522522522522,0.4444122314453125,0.011811792850494385,-0.009801298379898071,-0.30280885946420155,0.6550497866287301,-0.00146484375
Altered-Easy,397__M_Right_thumb_finger_Zcut.BMP,M4 Directional Diffusion,"{""iterations"": 2, ""step"": 0.12}",False,0.7955791354179382,0.23702776432037354,1.8822080010951028,49.57017543859649,0.4458770751953125,0.8043681383132935,0.23094995319843292,1.8912041812805171,49.15652173913043,0.443756103515625,0.008789002895355225,-0.006077811121940613,0.00899618018541437,-0.41365369946606023,-0.0021209716796875
Altered-Easy,464__M_Left_middle_finger_CR.BMP,M1 NLM,"{""h"": 0.07}",False,0.7847188711166382,0.2481907308101654,1.5858787836999242,39.46621621621622,0.442596435546875,0.8340163230895996,0.2412625253200531,1.2060232245615243,46.84552845528455,0.4428253173828125,0.049297451972961426,-0.006928205490112305,-0.37985555913839986,7.379312239068334,0.0002288818359375
Altered-Easy,464__M_Left_middle_finger_CR.BMP,M2 Hybrid NLM-Gabor,"{""detail_clip"": 0.1, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""gabor_blend"": 0.15, ""gabor_strength"": 0.12, ""gamma"": 0.5, ""nlm_h"": 0.07, ""orientation_bins"": 12, ""orientation_offset"": 1.5707963267948966, ""sigma_scale"": 0.55}",False,0.7847188711166382,0.2481907308101654,1.5858787836999242,39.46621621621622,0.442596435546875,0.8286089301109314,0.24215486645698547,1.2415933781686497,46.104,0.4424285888671875,0.04389005899429321,-0.006035864353179932,-0.3442854055312745,6.637783783783782,-0.0001678466796875
Altered-Easy,464__M_Left_middle_finger_CR.BMP,M3 TV,"{""weight"": 0.02}",False,0.7847188711166382,0.2481907308101654,1.5858787836999242,39.46621621621622,0.442596435546875,0.7961946725845337,0.2387124001979828,1.5885074936114374,40.352112676056336,0.441864013671875,0.011475801467895508,-0.009478330612182617,0.002628709911513205,0.8858964598401187,-0.000732421875
Altered-Easy,464__M_Left_middle_finger_CR.BMP,M4 Directional Diffusion,"{""iterations"": 2, ""step"": 0.12}",False,0.7847188711166382,0.2481907308101654,1.5858787836999242,39.46621621621622,0.442596435546875,0.7884451150894165,0.23946714401245117,1.5948410359532643,39.55102040816327,0.4401092529296875,0.0037262439727783203,-0.008723586797714233,0.00896225225334013,0.08480419194705036,-0.0024871826171875
Altered-Easy,93__M_Right_middle_finger_Obl.BMP,M1 NLM,"{""h"": 0.07}",False,0.6955453753471375,0.2064627856016159,5.886708626434653,14.559055118110237,0.412139892578125,0.7731882929801941,0.1960071325302124,4.291685326168085,19.014545454545456,0.40887451171875,0.07764291763305664,-0.010455653071403503,-1.5950233002665684,4.4554903364352185,-0.003265380859375
Altered-Easy,93__M_Right_middle_finger_Obl.BMP,M2 Hybrid NLM-Gabor,"{""detail_clip"": 0.1, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""gabor_blend"": 0.15, ""gabor_strength"": 0.12, ""gamma"": 0.5, ""nlm_h"": 0.07, ""orientation_bins"": 12, ""orientation_offset"": 1.5707963267948966, ""sigma_scale"": 0.55}",False,0.6955453753471375,0.2064627856016159,5.886708626434653,14.559055118110237,0.412139892578125,0.7638744115829468,0.19734016060829163,4.44046419642524,18.310104529616726,0.4089202880859375,0.06832903623580933,-0.00912262499332428,-1.446244430009413,3.7510494115064894,-0.0032196044921875
Altered-Easy,93__M_Right_middle_finger_Obl.BMP,M3 TV,"{""weight"": 0.02}",False,0.6955453753471375,0.2064627856016159,5.886708626434653,14.559055118110237,0.412139892578125,0.7093084454536438,0.19666460156440735,5.028682112791477,16.117824773413897,0.409637451171875,0.013763070106506348,-0.009798184037208557,-0.8580265136431757,1.55876965530366,-0.00250244140625
Altered-Easy,93__M_Right_middle_finger_Obl.BMP,M4 Directional Diffusion,"{""iterations"": 2, ""step"": 0.12}",False,0.6955453753471375,0.2064627856016159,5.886708626434653,14.559055118110237,0.412139892578125,0.6993476748466492,0.2006131410598755,5.802923780828033,14.997282608695652,0.4102020263671875,0.0038022994995117188,-0.0058496445417404175,-0.08378484560661992,0.4382274905854153,-0.0019378662109375
Altered-Easy,512__M_Right_middle_finger_CR.BMP,M1 NLM,"{""h"": 0.07}",False,0.6846407651901245,0.19032777845859528,1.6037374054317888,45.78225806451613,0.4376678466796875,0.7619035243988037,0.18068796396255493,1.2616969824413835,57.37894736842105,0.4353790283203125,0.0772627592086792,-0.009639814496040344,-0.34204042299040527,11.596689303904924,-0.002288818359375
Altered-Easy,512__M_Right_middle_finger_CR.BMP,M2 Hybrid NLM-Gabor,"{""detail_clip"": 0.1, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""gabor_blend"": 0.15, ""gabor_strength"": 0.12, ""gamma"": 0.5, ""nlm_h"": 0.07, ""orientation_bins"": 12, ""orientation_offset"": 1.5707963267948966, ""sigma_scale"": 0.55}",False,0.6846407651901245,0.19032777845859528,1.6037374054317888,45.78225806451613,0.4376678466796875,0.7528673410415649,0.18193280696868896,1.295699677826026,54.396039603960396,0.43572998046875,0.06822657585144043,-0.008394971489906311,-0.30803772760576287,8.613781539444268,-0.0019378662109375
Altered-Easy,512__M_Right_middle_finger_CR.BMP,M3 TV,"{""weight"": 0.02}",False,0.6846407651901245,0.19032777845859528,1.6037374054317888,45.78225806451613,0.4376678466796875,0.7017709016799927,0.18149887025356293,1.4307150085493945,52.056603773584904,0.4372711181640625,0.017130136489868164,-0.008828908205032349,-0.1730223968823943,6.2743457090687755,-0.000396728515625
Altered-Easy,512__M_Right_middle_finger_CR.BMP,M4 Directional Diffusion,"{""iterations"": 2, ""step"": 0.12}",False,0.6846407651901245,0.19032777845859528,1.6037374054317888,45.78225806451613,0.4376678466796875,0.6895232200622559,0.18427163362503052,1.5812776723592663,48.0,0.434234619140625,0.004882454872131348,-0.006056144833564758,-0.02245973307252247,2.217741935483872,-0.0034332275390625
Altered-Easy,330__M_Left_index_finger_Zcut.BMP,M1 NLM,"{""h"": 0.07}",False,0.6761437654495239,0.22204887866973877,5.531326454632486,17.11142061281337,0.4303436279296875,0.7437578439712524,0.21358592808246613,4.463648050278532,19.83164983164983,0.42730712890625,0.06761407852172852,-0.008462950587272644,-1.0676784043539547,2.7202292188364616,-0.0030364990234375
