severity,method,count,paired_clean_reference_available,mean_coherence_before,mean_contrast_before,mean_fragmentation_before,mean_continuity_before,mean_ridge_coverage_before,mean_coherence_after,mean_contrast_after,mean_fragmentation_after,mean_continuity_after,mean_ridge_coverage_after,mean_delta_coherence,mean_delta_contrast,mean_delta_fragmentation,mean_delta_continuity,mean_delta_ridge_coverage
Altered-Easy,M1 NLM,500,False,0.6582977066040039,0.18571438412368296,4.474200766921346,26.026834660882674,0.37469588266595827,0.7285674251914024,0.17767087388038635,3.2124687906414406,32.913184409331485,0.36780797795077774,0.07026971858739853,-0.008043510243296623,-1.2617319762799037,6.886349748448817,-0.0068879047151805236
Altered-Easy,M2 Hybrid NLM-Gabor,500,False,0.6582977066040039,0.18571438412368296,4.474200766921346,26.026834660882674,0.37469588266595827,0.7186732082366943,0.17869365015625954,3.3221868220717017,32.07972586945065,0.3686750778356841,0.06037550163269043,-0.0070207339674234395,-1.1520139448496431,6.052891208567976,-0.006020804830274232
Altered-Easy,M3 TV,500,False,0.6582977066040039,0.18571438412368296,4.474200766921346,26.026834660882674,0.37469588266595827,0.6751826972365379,0.1772290061712265,4.020670648673533,27.084948701204794,0.37156004831666195,0.016884990632534028,-0.008485377952456474,-0.4535301182478121,1.05811404032212,-0.003135834349296334
Altered-Easy,M4 Directional Diffusion,500,False,0.6582977066040039,0.18571438412368296,4.474200766921346,26.026834660882674,0.37469588266595827,0.661907021343708,0.1805614048987627,4.483407526863661,25.999522461175868,0.3721398436145784,0.003609314739704132,-0.005152979224920273,0.009206759942315734,-0.027312199706805308,-0.0025560390513799077
Altered-Hard,M1 NLM,500,False,0.643444236278534,0.17909290800988675,5.729496480349586,19.61629385786768,0.36338146648119174,0.7182381746768951,0.1698975108265877,4.148096666590866,24.886288726307345,0.3551089072033921,0.07479393839836121,-0.009195397183299064,-1.5813998137587209,5.269994868439662,-0.008272559277799598
Altered-Hard,M2 Hybrid NLM-Gabor,500,False,0.643444236278534,0.17909290800988675,5.729496480349586,19.61629385786768,0.36338146648119174,0.708013081908226,0.1710701162815094,4.318851989371563,24.083142988170664,0.3562072272724848,0.06456884562969208,-0.008022791728377342,-1.410644490978023,4.4668491303029825,-0.007174239208706909
Altered-Hard,M3 TV,500,False,0.643444236278534,0.17909290800988675,5.729496480349586,19.61629385786768,0.36338146648119174,0.6603469865918159,0.17083410432934762,5.209948856510658,20.096579864652504,0.35942632808599195,0.016902750313282013,-0.00825880368053913,-0.5195476238389287,0.48028600678482414,-0.0039551383951997926
Altered-Hard,M4 Directional Diffusion,500,False,0.643444236278534,0.17909290800988675,5.729496480349586,19.61629385786768,0.36338146648119174,0.6465273553729057,0.17451046830415726,5.75865578964065,19.49591364429896,0.36095368883893936,0.0030831190943717956,-0.004582439705729484,0.029159309291064604,-0.12038021356872158,-0.0024277776422524156
Altered-Medium,M1 NLM,500,False,0.6507559560537338,0.18311812041699888,5.264775951809135,21.546367428772996,0.36969898166367793,0.7232728148698807,0.17442514957487584,3.860249140380955,26.888116545640692,0.36224261052372764,0.07251685881614685,-0.008692970842123032,-1.4045268114281795,5.341749116867695,-0.007456371139950294
Altered-Medium,M2 Hybrid NLM-Gabor,500,False,0.6507559560537338,0.18311812041699888,5.264775951809135,21.546367428772996,0.36969898166367793,0.7130874499082566,0.1755323239415884,4.005184379218692,26.194739577198156,0.363246420395064,0.062331493854522704,-0.0075857964754104616,-1.2595915725904427,4.6483721484251594,-0.006452561268613978
Altered-Medium,M3 TV,500,False,0.6507559560537338,0.18311812041699888,5.264775951809135,21.546367428772996,0.36969898166367793,0.6672860204577445,0.17464147709310054,4.809821396995213,22.15683985959526,0.36624088978058456,0.016530064404010773,-0.008476643323898315,-0.45495455481392083,0.6104724308222641,-0.0034580918830934065
Altered-Medium,M4 Directional Diffusion,500,False,0.6507559560537338,0.18311812041699888,5.264775951809135,21.546367428772996,0.36969898166367793,0.6537689281105995,0.17815538522601126,5.294405019300533,21.430271195721804,0.36722828247527756,0.0030129720568656923,-0.004962735190987587,0.029629067491399298,-0.11609623305119526,-0.002470699188400402
Overall,M1 NLM,1500,False,0.6508326329787573,0.18264180418352285,5.156157733026689,22.396498649174454,0.36925877693694265,0.7233594715793927,0.1739978447606166,3.740271532537754,28.22919656042651,0.36171983189263257,0.07252683860063552,-0.00864395942290624,-1.4158862004889348,5.832697911252058,-0.00753894504431014
Overall,M2 Hybrid NLM-Gabor,1500,False,0.6508326329787573,0.18264180418352285,5.156157733026689,22.396498649174454,0.36925877693694265,0.7132579133510589,0.17509869679311912,3.882074396887319,27.452536144939824,0.3627095751677443,0.06242528037230174,-0.007543107390403748,-1.2740833361393695,5.056037495765373,-0.0065492017691983736
Overall,M3 TV,1500,False,0.6508326329787573,0.18264180418352285,5.156157733026689,22.396498649174454,0.36925877693694265,0.6676052347620328,0.1742348625312249,4.680146967393134,23.11278947515085,0.36574242206107943,0.016772601783275606,-0.008406941652297974,-0.4760107656335538,0.7162908259764026,-0.0035163548758631777
Overall,M4 Directional Diffusion,1500,False,0.6508326329787573,0.18264180418352285,5.156157733026689,22.396498649174454,0.36925877693694265,0.6540677682757378,0.17774241947631042,5.1788227786016146,22.308569100398877,0.3667739383095984,0.00323513529698054,-0.004899384707212448,0.022665045574926546,-0.08792954877557405,-0.0024848386273442417
