filename,subject_id,candidate,member,parameters_json,baseline_psnr,baseline_ssim,baseline_mse,psnr,ssim,mse,delta_psnr,delta_ssim,delta_mse,runtime_seconds
380__M_Left_index_finger.BMP,380,"M4 Directional Diffusion (iterations=2, step=0.12)",M4 Directional Diffusion,"{""iterations"": 2, ""step"": 0.12}",27.39224514157606,0.8241426620333194,0.001822953059489075,28.016417598403677,0.8346195538586378,0.001578913144110478,0.624172456827619,0.010476891825318413,-0.00024403991537859685,0.6719995000166818
380__M_Left_little_finger.BMP,380,"M4 Directional Diffusion (iterations=2, step=0.12)",M4 Directional Diffusion,"{""iterations"": 2, ""step"": 0.12}",27.71736251270148,0.7666588592921495,0.0016914678547986946,28.335362806491837,0.7788922873106598,0.0014671135201782047,0.6180002937903559,0.01223342801851035,-0.00022435433462048991,0.5853550000465475
380__M_Left_middle_finger.BMP,380,"M4 Directional Diffusion (iterations=2, step=0.12)",M4 Directional Diffusion,"{""iterations"": 2, ""step"": 0.12}",27.121060618568507,0.8799680408276915,0.0019404119392070196,27.693870263381587,0.8875278902400732,0.0017006422866848864,0.5728096448130806,0.007559849412381636,-0.00023976965252213325,0.7649637999711558
380__M_Left_ring_finger.BMP,380,"M4 Directional Diffusion (iterations=2, step=0.12)",M4 Directional Diffusion,"{""iterations"": 2, ""step"": 0.12}",27.285753289932494,0.8393499275820852,0.0018682056062418646,27.813796482608968,0.8488514092767835,0.0016543231674901713,0.5280431926764741,0.009501481694698333,-0.00021388243875169327,0.7576981000020169
380__M_Left_thumb_finger.BMP,380,"M4 Directional Diffusion (iterations=2, step=0.12)",M4 Directional Diffusion,"{""iterations"": 2, ""step"": 0.12}",26.99028703291933,0.9075991768866778,0.001999729699585501,27.706760086186787,0.9142572436336875,0.001695602278081131,0.7164730532674568,0.00665806674700975,-0.00030412742150437,0.6667944000218995
380__M_Right_index_finger.BMP,380,"M4 Directional Diffusion (iterations=2, step=0.12)",M4 Directional Diffusion,"{""iterations"": 2, ""step"": 0.12}",27.368707254437247,0.8433519870930314,0.0018328599206484284,28.081595335115633,0.8535344476486445,0.0015553941689572374,0.7128880806783862,0.010182460555613115,-0.000277465751691191,0.7293776000151411
380__M_Right_little_finger.BMP,380,"M4 Directional Diffusion (iterations=2, step=0.12)",M4 Directional Diffusion,"{""iterations"": 2, ""step"": 0.12}",27.631904571796152,0.757674889871031,0.0017250812023077028,28.21205033122252,0.7702344625205397,0.0015093674042045396,0.5801457594263688,0.012559572649508688,-0.00021571379810316317,0.7515993000124581
380__M_Right_middle_finger.BMP,380,"M4 Directional Diffusion (iterations=2, step=0.12)",M4 Directional Diffusion,"{""iterations"": 2, ""step"": 0.12}",27.17154990964595,0.8700292221297026,0.0019179841285608963,27.9350198204817,0.8796986972433328,0.0016087850356432828,0.7634699108357488,0.009669475113630255,-0.0003091990929176135,0.7626098999753594
380__M_Right_ring_finger.BMP,380,"M4 Directional Diffusion (iterations=2, step=0.12)",M4 Directional Diffusion,"{""iterations"": 2, ""step"": 0.12}",27.430048920692375,0.7953303607811034,0.0018071537693830535,28.094094101545544,0.806929817019701,0.0015509242616315647,0.6640451808531687,0.011599456238597594,-0.0002562295077514888,0.48604980000527576
380__M_Right_thumb_finger.BMP,380,"M4 Directional Diffusion (iterations=2, step=0.12)",M4 Directional Diffusion,"{""iterations"": 2, ""step"": 0.12}",27.05838210736847,0.8953427772864699,0.001968619529933384,27.923133397942227,0.9033643717775941,0.0016131942308626435,0.8647512905737571,0.008021594491124162,-0.00035542529907074054,0.5288996000308543
600__M_Left_index_finger.BMP,600,"M4 Directional Diffusion (iterations=2, step=0.12)",M4 Directional Diffusion,"{""iterations"": 2, ""step"": 0.12}",27.35319272178306,0.8397514104789794,0.001839419252730077,27.972985458006384,0.8488097748396695,0.001594782473631208,0.6197927362233244,0.009058364360690074,-0.0002446367790988691,0.502682399994228
600__M_Left_little_finger.BMP,600,"M4 Directional Diffusion (iterations=2, step=0.12)",M4 Directional Diffusion,"{""iterations"": 2, ""step"": 0.12}",27.75017516117653,0.7569456012638808,0.001678736309374416,28.300998276656646,0.7686672517006398,0.001478768436879656,0.5508231154801173,0.01172165043675899,-0.00019996787249475993,0.5205714000039734
600__M_Left_middle_finger.BMP,600,"M4 Directional Diffusion (iterations=2, step=0.12)",M4 Directional Diffusion,"{""iterations"": 2, ""step"": 0.12}",27.44947810926937,0.8171206154738665,0.0017990870980429466,28.160652191702972,0.8277836126701832,0.0015273366767588662,0.711174082433601,0.010662997196316693,-0.0002717504212840804,0.5839670999557711
600__M_Left_ring_finger.BMP,600,"M4 Directional Diffusion (iterations=2, step=0.12)",M4 Directional Diffusion,"{""iterations"": 2, ""step"": 0.12}",27.310341456038962,0.8390093911606371,0.001857658394379474,27.93014436243606,0.8484789148738384,0.00161059209711303,0.6198029063970978,0.009469523713201311,-0.0002470662972664441,0.5227966000093147
600__M_Left_thumb_finger.BMP,600,"M4 Directional Diffusion (iterations=2, step=0.12)",M4 Directional Diffusion,"{""iterations"": 2, ""step"": 0.12}",27.207857503343792,0.875479294952333,0.0019020163666061496,27.83493598820241,0.8833433462521434,0.0016462902312510224,0.6270784848586182,0.007864051299810382,-0.00025572613535512724,0.5492123999865726
600__M_Right_index_finger.BMP,600,"M4 Directional Diffusion (iterations=2, step=0.12)",M4 Directional Diffusion,"{""iterations"": 2, ""step"": 0.12}",27.305187216878938,0.8529470467790365,0.0018598643859407287,27.944392323122116,0.8624723106114864,0.0016053168627683057,0.6392051062431783,0.009525263832449893,-0.00025454752317242307,0.5708565999520943
600__M_Right_little_finger.BMP,600,"M4 Directional Diffusion (iterations=2, step=0.12)",M4 Directional Diffusion,"{""iterations"": 2, ""step"": 0.12}",27.918805267842984,0.7369490548488498,0.001614802723510412,28.411991225947737,0.7490926663463712,0.0014414542979256668,0.4931859581047533,0.012143611497521412,-0.00017334842558474521,0.49532109999563545
